name,latitude (deg),longitude (deg),amount 1,amount 2,amount 3,amount 4,amount 5
"Batavia, IL",41.8500284,-88.3125738,0.438,0.4355,0.424,0.4055,0.383
"Darien, IL",41.7519754,-87.9739494,0.371,0.3695,0.3595,0.344,0.325
"Ashtabula, OH",41.8650534,-80.7898089,0.306,0.3045,0.2965,0.2835,0.2675
"Dixon, IL",41.8389213,-89.4795478,0.2645,0.263,0.256,0.245,0.2315
"Clive, IA",41.6030446,-93.7241104,0.221,0.22,0.214,0.2045,0.1935
"Altoona, IA",41.6441557,-93.4646571,0.208,0.207,0.2015,0.1925,0.182
"Ankeny, IA",41.7297102,-93.6057734,0.652,0.649,0.6315,0.604,0.5705
"Des Moines, IA",41.6005448,-93.6091064,2.91,2.8955,2.819,2.695,2.5465
"Coralville, IA",41.6764044,-91.5804475,0.2705,0.269,0.262,0.2505,0.2365
"Bettendorf, IA",41.5244777,-90.51569,0.475,0.473,0.4605,0.44,0.416
"Davenport, IA",41.5236437,-90.5776367,1.426,1.419,1.3815,1.3205,1.2475
"Crest Hill, IL",41.554753,-88.0986709,0.3505,0.3485,0.3395,0.3245,0.3065
"Crown Point, IN",41.4169806,-87.3653136,0.386,0.384,0.374,0.3575,0.3375
"Hammond, IN",41.5833688,-87.5000412,1.142,1.1365,1.1065,1.058,0.9995
"Hobart, IN",41.5322592,-87.2550353,0.4105,0.4085,0.398,0.3805,0.3595
"Auburn, IN",41.3669942,-85.0588575,0.18,0.179,0.1745,0.1665,0.1575
"Council Bluffs, IA",41.2619444,-95.8608333,0.89,0.8855,0.8625,0.8245,0.779
"Defiance, OH",41.2844933,-84.3557802,0.264,0.2625,0.2555,0.2445,0.231
"Hudson, OH",41.240056,-81.440667,0.356,0.3545,0.345,0.33,0.3115
"Bellevue, NE",41.1366656,-95.8908446,0.657,0.654,0.6365,0.6085,0.575
"Burlington, IA",40.8075391,-91.1129233,0.367,0.3655,0.3555,0.34,0.321
"Huntington, IN",40.8831011,-85.497476,0.2455,0.2445,0.238,0.2275,0.215
"Bucyrus, OH",40.8083909,-82.9754649,0.1975,0.1965,0.1915,0.183,0.173
"Bloomington, IL",40.4842027,-88.9936873,1.288,1.2815,1.2475,1.1925,1.127
"Celina, OH",40.5489358,-84.5702338,0.1665,0.1655,0.161,0.154,0.1455
"Canton, IL",40.5580945,-90.0351167,0.247,0.246,0.2395,0.229,0.2165
"Dover, OH",40.5206198,-81.4740054,0.205,0.204,0.1985,0.19,0.1795
"Bellefontaine, OH",40.3611643,-83.7596557,0.214,0.213,0.207,0.198,0.187
"Danville, IL",40.124481,-87.6300207,0.555,0.5525,0.538,0.514,0.486
"Delaware, OH",40.2986724,-83.067965,0.556,0.553,0.5385,0.515,0.4865
"Champaign, IL",40.1164205,-88.2433829,1.3625,1.3555,1.32,1.262,1.192
"Anderson, IN",40.1053196,-85.6802541,0.793,0.789,0.7685,0.7345,0.694
"Cambridge, OH",40.031183,-81.5884561,0.17,0.1695,0.165,0.1575,0.149
"Carmel, IN",39.9783711,-86.1180435,1.119,1.1135,1.084,1.0365,0.979
"Crawfordsville, IN",40.0411536,-86.8744516,0.225,0.224,0.218,0.2085,0.197
"Grove City, OH",39.8814519,-83.0929645,0.569,0.566,0.551,0.527,0.498
"Hilliard, OH",40.0333961,-83.1582451,0.455,0.4525,0.4405,0.421,0.398
"Decatur, IL",39.8403147,-88.9548001,1.2795,1.273,1.2395,1.185,1.1195
"Hannibal, MO",39.7083789,-91.3584816,0.292,0.2905,0.283,0.2705,0.2555
"Beech Grove, IN",39.7219884,-86.0899847,0.2005,0.1995,0.1945,0.1855,0.1755
"Centerville, OH",39.6283928,-84.1593818,0.384,0.382,0.372,0.3555,0.336
"Beavercreek, OH",39.7092262,-84.0632685,0.723,0.719,0.7005,0.6695,0.6325
"Circleville, OH",39.600618,-82.9460133,0.213,0.212,0.2065,0.197,0.1865
"Connersville, IN",39.6411589,-85.1410748,0.1905,0.1895,0.1845,0.1765,0.1665
"Charleston, IL",39.4961458,-88.1761521,0.367,0.365,0.3555,0.34,0.321
"Greenwood, IN",39.6136578,-86.1066526,0.7035,0.7,0.6815,0.6515,0.6155
"Athens, OH",39.3292396,-82.1012555,0.381,0.3795,0.3695,0.353,0.3335
"Chillicothe, OH",39.3331197,-82.9824019,0.3505,0.3485,0.3395,0.3245,0.3065
"Bloomington, IN",39.165325,-86.5263857,1.136,1.1305,1.1005,1.052,0.994
"Columbus, IN",39.2014405,-85.9213796,0.6225,0.6195,0.603,0.5765,0.5445
"Columbia, MO",38.9517053,-92.3340724,1.7695,1.7605,1.714,1.6385,1.548
"Blue Springs, MO",39.0169509,-94.2816148,0.8575,0.853,0.8305,0.794,0.75
"Collinsville, IL",38.6703267,-89.9845476,0.43,0.428,0.4165,0.398,0.376
"Alton, IL",38.8906038,-90.1842764,0.4685,0.466,0.454,0.434,0.41
"Bedford, IN",38.8611619,-86.4872149,0.1895,0.1885,0.1835,0.1755,0.166
"Dardenne Prairie, MO",38.7694969,-90.7290157,0.1875,0.1865,0.1815,0.1735,0.164
"Clayton, MO",38.6425518,-90.3237263,0.26,0.2585,0.252,0.2405,0.2275
"Crestwood, MO",38.5569974,-90.3817845,0.194,0.1935,0.188,0.18,0.17
"Creve Coeur, MO",38.6608855,-90.4226181,0.291,0.2895,0.2815,0.2695,0.2545
"Chesterfield, MO",38.6631083,-90.5770675,0.7745,0.7705,0.75,0.717,0.6775
"Ballwin, MO",38.5950533,-90.5462339,0.496,0.4935,0.4805,0.459,0.434
"Bellefontaine Neighbors, MO",38.7403281,-90.2265001,0.177,0.176,0.1715,0.164,0.155
"Hazelwood, MO",38.7714396,-90.3709489,0.419,0.417,0.406,0.388,0.3665
"Belton, MO",38.8119527,-94.5318982,0.377,0.375,0.365,0.349,0.33
"Harrisonville, MO",38.6533446,-94.3488372,0.1635,0.1625,0.1585,0.1515,0.143
"Centralia, IL",38.5250491,-89.1334037,0.219,0.218,0.212,0.203,0.1915
"Belleville, IL",38.5200504,-89.9839935,0.7475,0.744,0.7245,0.6925,0.654
"Arnold, MO",38.4328317,-90.3776187,0.3395,0.3375,0.3285,0.3145,0.297
"Andover, KS",37.7139041,-97.1364294,0.1515,0.1505,0.1465,0.14,0.1325
"Carbondale, IL",37.7272727,-89.2167501,0.4355,0.433,0.422,0.403,0.381
"Haysville, KS",37.5644615,-97.3522675,0.139,0.138,0.1345,0.1285,0.1215
"Derby, KS",37.5455735,-97.2689331,0.2845,0.283,0.2755,0.2635,0.2485
"Herrin, IL",37.8031056,-89.0275744,0.21,0.209,0.2035,0.1945,0.184
"Bolivar, MO",37.6144838,-93.4104749,0.1685,0.1675,0.163,0.156,0.1475
"Cape Girardeau, MO",37.3058839,-89.5181476,0.6185,0.6155,0.5995,0.573,0.5415
"Carthage, MO",37.176447,-94.3102228,0.2345,0.2335,0.227,0.217,0.205
"Branson, MO",36.6436731,-93.2185144,0.1715,0.1705,0.166,0.159,0.15
"Duluth, MN",46.7832731,-92.1065787,1.602,1.594,1.552,1.484,1.402
"Grand Rapids, MN",47.2371658,-93.5302142,0.202,0.201,0.1955,0.187,0.1765
"Moorhead, MN",46.8738524,-96.7675807,0.707,0.7035,0.685,0.6545,0.6185
"Fergus Falls, MN",46.2830152,-96.0775581,0.244,0.243,0.2365,0.226,0.2135
"North Branch, MN",45.5113515,-92.9802176,0.188,0.187,0.182,0.174,0.1645
"Elk River, MN",45.3038538,-93.5671825,0.4265,0.4245,0.4135,0.395,0.3735
"Monticello, MN",45.3055202,-93.7941378,0.237,0.236,0.2295,0.2195,0.2075
"East Bethel, MN",45.34316604,-93.23488551,0.216,0.215,0.209,0.2,0.189
"Fridley, MN",45.0860765,-93.2632821,0.5055,0.503,0.4895,0.468,0.442
"Forest Lake, MN",45.2788561,-92.9852184,0.341,0.3395,0.3305,0.316,0.2985
"Oakdale, MN",44.9630216,-92.9649361,0.5085,0.506,0.4925,0.471,0.445
"Eden Prairie, MN",44.8546856,-93.470786,1.129,1.1235,1.094,1.0455,0.988
"Edina, MN",44.8896866,-93.3499489,0.8905,0.886,0.8625,0.8245,0.779
"Golden Valley, MN",45.0096869,-93.349117,0.3785,0.3765,0.3665,0.3505,0.331
"New Hope, MN",45.0380201,-93.3866185,0.3775,0.376,0.366,0.35,0.3305
"Minneapolis, MN",44.9799654,-93.2638361,7.105,7.0695,6.883,6.5805,6.217
"Minnetonka, MN",44.92917226,-93.48284337,0.9235,0.919,0.895,0.8555,0.808
"Mounds View, MN",45.1049656,-93.2085582,0.2255,0.2245,0.2185,0.209,0.1975
"New Brighton, MN",45.0655212,-93.2018908,0.3985,0.3965,0.386,0.369,0.3485
"North Saint Paul, MN",45.0124657,-92.9918828,0.213,0.212,0.206,0.197,0.186
"Eagan, MN",44.8041322,-93.1668858,1.1925,1.1865,1.155,1.1045,1.0435
"Farmington, MN",44.6402434,-93.1435497,0.3915,0.3895,0.3795,0.3625,0.3425
"Mendota Heights, MN",44.8835768,-93.1382749,0.2055,0.2045,0.199,0.1905,0.18
"Inver Grove Heights, MN",44.8480218,-93.0427153,0.629,0.626,0.6095,0.5825,0.5505
"Lakeville, MN",44.6496868,-93.24272,1.039,1.034,1.0065,0.9625,0.909
"Marshall, MN",44.4469033,-95.7883541,0.254,0.253,0.246,0.2355,0.2225
"Faribault, MN",44.2949637,-93.268827,0.4335,0.4315,0.42,0.4015,0.3795
"Northfield, MN",44.4582983,-93.161604,0.3715,0.3695,0.36,0.344,0.325
"New Ulm, MN",44.3124626,-94.4605287,0.251,0.25,0.2435,0.2325,0.2195
"North Mankato, MN",44.1732996,-94.0338451,0.2485,0.2475,0.241,0.2305,0.2175
"Fairmont, MN",43.6521775,-94.4610832,0.198,0.197,0.192,0.1835,0.1735
"Secaucus, NJ",40.7895453,-74.0565298,0.6535,0.6505,0.6335,0.6055,0.572
"Union City, NJ",40.7795455,-74.0237512,2.671,2.6575,2.5875,2.474,2.337
"West New York, NJ",40.7878788,-74.0143064,1.998,1.988,1.9355,1.8505,1.748
"Keokuk, IA",40.3972664,-91.384874,0.154,0.1535,0.1495,0.143,0.135
"Allentown, PA",40.6084305,-75.4901833,3.835,3.816,3.7155,3.552,3.3555
"Emmaus, PA",40.5395421,-75.4968502,0.3645,0.3625,0.353,0.3375,0.3185
"Bound Brook, NJ",40.5684363,-74.5384889,0.418,0.416,0.405,0.387,0.366
"Somerville, NJ",40.5742696,-74.60988,0.4865,0.484,0.471,0.4505,0.4255
"North Plainfield, NJ",40.6301025,-74.4273743,0.8815,0.8775,0.854,0.8165,0.7715
"Altoona, PA",40.5186809,-78.3947359,1.505,1.4975,1.458,1.394,1.317
"Plainfield, NJ",40.6337136,-74.4073737,2.002,1.992,1.9395,1.854,1.7515
"Rahway, NJ",40.6081591,-74.2776468,1.099,1.0935,1.065,1.018,0.9615
"Roselle, NJ",40.6642692,-74.2632022,0.8475,0.843,0.821,0.785,0.7415
"Roselle Park, NJ",40.6645469,-74.2643133,0.5345,0.532,0.518,0.495,0.4675
"Linden, NJ",40.6220478,-74.2445902,1.628,1.6195,1.577,1.5075,1.4245
"New Providence, NJ",40.6984348,-74.4015405,0.489,0.4865,0.474,0.453,0.428
"Westfield, NJ",40.6589912,-74.3473717,1.2185,1.2125,1.1805,1.1285,1.066
"Johnstown, PA",40.3267407,-78.9219698,0.6815,0.678,0.6605,0.6315,0.5965
"Hastings, NE",40.5861246,-98.388393,0.3265,0.325,0.3165,0.3025,0.2855
"Lower Burrell, PA",40.5531228,-79.75727,0.382,0.38,0.37,0.354,0.3345
"Greensburg, PA",40.3014581,-79.5389289,0.484,0.4815,0.469,0.448,0.4235
"Murrysville, PA",40.4284015,-79.697545,0.6525,0.649,0.632,0.604,0.571
"New Kensington, PA",40.5697893,-79.7647705,0.426,0.424,0.413,0.3945,0.373
"Reading, PA",40.3356483,-75.9268747,2.862,2.8475,2.7725,2.6505,2.504
"Wyomissing, PA",40.329537,-75.9652117,0.34,0.338,0.3295,0.315,0.2975
"Franklin Park, PA",40.5834009,-80.0878352,0.4375,0.4355,0.424,0.4055,0.383
"Baldwin, PA",40.38334686,-79.96511583,0.6425,0.639,0.622,0.595,0.562
"Bethel Park, PA",40.3275697,-80.0394977,1.05,1.0445,1.017,0.9725,0.9185
"McKeesport, PA",40.3478472,-79.864215,0.641,0.638,0.621,0.594,0.561
"Munhall, PA",40.3922914,-79.9000499,0.3705,0.369,0.359,0.343,0.3245
"Pittsburgh, PA",40.4406248,-79.9958864,9.933,9.8835,9.623,9.1995,8.6915
"West Mifflin, PA",40.3634026,-79.8664375,0.66,0.6565,0.6395,0.6115,0.5775
"Whitehall, PA",40.3611806,-79.9908855,0.453,0.451,0.439,0.4195,0.3965
"Wilkinsburg, PA",40.4417355,-79.8819942,0.5175,0.515,0.5015,0.4795,0.453
"Jefferson Hills, PA",40.2911809,-79.9319942,0.345,0.3435,0.3345,0.3195,0.302
"New Philadelphia, OH",40.4897871,-81.4456706,0.2765,0.275,0.268,0.256,0.242
"Harrisburg, PA",40.2737002,-76.8844179,1.6095,1.601,1.559,1.4905,1.408
"Carteret, NJ",40.5773266,-74.2282005,0.918,0.9135,0.8895,0.8505,0.8035
"Sayreville, NJ",40.4592726,-74.3609822,1.7165,1.708,1.663,1.5895,1.502
"South Plainfield, NJ",40.5792701,-74.4115401,0.94,0.935,0.9105,0.8705,0.8225
"South River, NJ",40.446495,-74.3859831,0.6435,0.64,0.6235,0.596,0.563
"Middlesex, NJ",40.572603,-74.4926541,0.548,0.5455,0.531,0.5075,0.4795
"New Brunswick, NJ",40.4862158,-74.4518188,2.218,2.207,2.1485,2.054,1.9405
"Perth Amboy, NJ",40.5067723,-74.2654234,2.0425,2.032,1.9785,1.8915,1.787
"Steubenville, OH",40.3697905,-80.6339638,0.2985,0.297,0.289,0.2765,0.261
"Mount Vernon, OH",40.3933956,-82.4857181,0.2715,0.2705,0.2635,0.2515,0.238
"Lebanon, PA",40.3409251,-76.4113497,0.828,0.8235,0.802,0.7665,0.7245
"Beatrice, NE",40.2680555,-96.7469704,0.1635,0.1625,0.158,0.1515,0.143
"Red Bank, NJ",40.3470543,-74.0643065,0.4905,0.488,0.4755,0.4545,0.4295
"Tinton Falls, NJ",40.3042774,-74.1004185,0.719,0.7155,0.6965,0.666,0.629
"Pottstown, PA",40.2453741,-75.6496302,0.727,0.7235,0.7045,0.6735,0.636
"Princeton, NJ",40.3487181,-74.6590472,0.4945,0.492,0.479,0.458,0.433
"Allison Park, PA",40.5595124,-79.9586651,0.7005,0.697,0.6785,0.6485,0.6125
"Robertsville, NJ",40.3462201,-74.2879242,0.454,0.452,0.44,0.4205,0.3975
"Lanham, MD",38.9670551,-76.8619166,0.3545,0.3525,0.3435,0.328,0.31
"Oxon Hill, MD",38.8034468,-76.9896975,0.6185,0.6155,0.599,0.5725,0.541
"Buckhall, VA",38.7317825,-77.4310987,0.383,0.381,0.371,0.355,0.335
"Marumsco, VA",38.6370244,-77.2618038,0.8235,0.8195,0.798,0.763,0.721
"Neabsco, VA",38.6082415,-77.2846795,0.2835,0.2825,0.275,0.263,0.2485
"Cherry Hill, VA",38.5698417,-77.2669261,0.376,0.3745,0.3645,0.3485,0.329
"Chesapeake Ranch Estates, MD",38.346235,-76.4177283,0.367,0.365,0.3555,0.34,0.321
"Rio Rico, AZ",31.4714828,-110.9764769,0.5925,0.5895,0.574,0.549,0.5185
"Navarre, FL",30.4015879,-86.863571,0.8855,0.881,0.858,0.82,0.775
"Fort Mohave, AZ",35.0003955,-114.57485,0.449,0.4465,0.435,0.416,0.393
"Boise, ID",43.6135002,-116.2034505,3.7295,3.711,3.613,3.4545,3.2635
"Milford, CT",41.2223194,-73.0564953,1.8275,1.818,1.77,1.6925,1.599
"Wallingford, CT",41.4570418,-72.8231552,0.649,0.6455,0.6285,0.601,0.568
"Ferndale, AR",34.7789801,-92.5576604,0.073,0.073,0.071,0.068,0.064
"LaGrange, GA",33.039291,-85.0313269,1.8925,1.883,1.8335,1.753,1.656
"Methuen, MA",42.7262016,-71.1908924,1.5815,1.5735,1.532,1.4645,1.3835
"Watertown, MA",42.3709299,-71.1828321,1.068,1.0625,1.0345,0.989,0.9345
"Easthampton, MA",42.266757,-72.66898,0.537,0.5345,0.5205,0.4975,0.47
"Franklin, MA",42.0834313,-71.396725,1.0585,1.0535,1.0255,0.9805,0.9265
"Agawam, MA",42.0695391,-72.6148117,0.9515,0.947,0.922,0.8815,0.8325
"La Porte, IN",41.6105983,-86.7225227,0.3115,0.31,0.302,0.2885,0.2725
"Edmonds, WA",47.8106521,-122.3773552,3.072,3.0565,2.976,2.8455,2.688
"Soddy-Daisy, TN",35.23735815,-85.18438556,0.2105,0.2095,0.204,0.195,0.1845
"Nashville, TN",36.1658899,-86.7844432,9.9655,9.9155,9.6545,9.2295,8.72
"Heber City, UT",40.5068991,-111.4132388,0.318,0.316,0.308,0.2945,0.278
"Weston, WI",44.90081965,-89.56479334,0.304,0.3025,0.2945,0.2815,0.266
"Mequon, WI",43.22637805,-87.96362953,0.4725,0.4705,0.458,0.4375,0.4135
"Casper, WY",42.8433117,-106.3273245,0.4715,0.4695,0.457,0.437,0.4125
"Clearlake, CA",38.95625568,-122.6439286,1.604,1.596,1.554,1.4855,1.4035
"Albany, CA",37.88580223,-122.3059788,1.95,1.94,1.889,1.806,1.706
"Malibu, CA",34.03318072,-118.6878802,1.33,1.3235,1.2885,1.232,1.1635
"West Hollywood, CA",34.0900091,-118.3617443,3.618,3.6,3.505,3.351,3.1655
"The Bronx, NY",40.84992814,-73.86617942,17.8735,17.7845,17.3155,16.554,15.6395
"Manhattan, NY",40.78346165,-73.96618566,20.5465,20.444,19.905,19.0295,17.978
"Brooklyn, NY",40.65009286,-73.94956366,32.558,32.3955,31.5415,30.1545,28.4885
"Queens, NY",40.75016214,-73.79744535,28.8415,28.698,27.941,26.7125,25.2365
"Staten Island, NY",40.58328072,-74.14981238,5.9735,5.944,5.787,5.5325,5.227
"North Attleborough, MA",41.98405054,-71.33302955,0.961,0.956,0.931,0.89,0.8405
"Sunrise, FL",26.16729736,-80.29498291,2.383,2.371,2.3085,2.207,2.085
"Amesbury, MA",42.8584235,-70.9300548,0.545,0.542,0.528,0.5045,0.477
"Greenfield, MA",42.5875857,-72.5995339,0.584,0.581,0.566,0.541,0.511
"Southbridge, MA",42.0750954,-72.0334084,0.5595,0.5565,0.542,0.518,0.4895
"Winthrop, MA",42.3750976,-70.982827,0.5855,0.5825,0.567,0.5425,0.5125
"Palmer, MA",42.158427,-72.3286928,0.4065,0.404,0.3935,0.3765,0.3555
"Indianapolis, IN",39.7683765,-86.1580423,11.5925,11.535,11.2305,10.7365,10.1435
"Louisville, KY",38.2542376,-85.759407,6.6995,6.666,6.4905,6.205,5.862
